unique_id,trajectory_id,episode_dir,question_text,question_image_ids,choice_1_text,choice_1_is_correct,choice_1_image_id,choice_2_text,choice_2_is_correct,choice_2_image_id,choice_3_text,choice_3_is_correct,choice_3_image_id,choice_4_text,choice_4_is_correct,choice_4_image_id,metadata_tag
Wed_Apr_26_18_00_13_2023_q2,Wed_Apr_26_18_00_13_2023,Move the can to the left_32,Which language instruction best describes the robot's trajectory shown in the image?,"c4166085-0b65-4ea0-b4b9-a61321c78482,d0c45581-67b2-4464-8f40-8cf564537e73",Move the box to the surface,False,,Lift the ball upward,False,,Move the cup to the center,False,,Move the can to the left,True,,trajectory_understanding
Thu_Jul_20_11_48_53_2023_q2,Thu_Jul_20_11_48_53_2023,Put the sock on the windowsill_150,Which language instruction best describes the robot's trajectory shown in the image?,"174edd5d-c4fa-4a5f-8aa3-2da42ae89f92,bd13b949-89b5-407f-8fd0-5c279d9bb881",Drop the pen into the drawer,False,,Pick up the container from the tray,False,,Put the sock on the windowsill,True,,Move the book to the tray,False,,trajectory_understanding
Fri_Nov_24_20_58_12_2023_q1,Fri_Nov_24_20_58_12_2023,Put the black shirt on the couch_57,Which language instruction best describes the robot's trajectory shown in the image?,"f04f0a20-e854-4a1b-bc27-64478356c56c,f0edd998-a9b8-462e-a11a-aa6780908980",Slide the cup to the right,False,,Put the black shirt on the couch,True,,Drop the box into the floor,False,,Drop the cup into the tray,False,,trajectory_understanding
Tue_Jul_25_12_29_36_2023_q1,Tue_Jul_25_12_29_36_2023,Straighten out the towel_95,Which language instruction best describes the robot's trajectory shown in the image?,"ac20c7d3-7bdd-43dd-a9ce-37a7c3cda730,b38695c9-9335-4ab3-a369-50ef8885d94c",Straighten out the towel,True,,Lift the book upward,False,,Push the bottle towards the surface,False,,Align the container with the center,False,,trajectory_understanding
Mon_Jun__5_16_11_49_2023_q1,Mon_Jun__5_16_11_49_2023,Place the pack of doritos inside the sink_4,Which language instruction best describes the robot's trajectory shown in the image?,"76fb51de-31e4-4787-9a19-48f692b6836f,c6ef674d-dcde-4975-a61a-ff2e9721c068",Push the plate towards the bin,False,,Place the pack of doritos inside the sink,True,,Align the box with the drawer,False,,Place the book on the drawer,False,,trajectory_understanding
Tue_Aug_15_14_44_19_2023_q1,Tue_Aug_15_14_44_19_2023,Push down the button on the toaster__8,Which language instruction best describes the robot's trajectory shown in the image?,"17673860-4dc9-41b7-b3d8-c8961554efb8,5463eb33-57a8-43b6-b584-f91fb657ca87",Drop the container into the platform,False,,Push down the button on the toaster.,True,,Push the plate towards the tray,False,,Grab the ball with the gripper,False,,trajectory_understanding
Fri_Jul__7_10_49_15_2023_q1,Fri_Jul__7_10_49_15_2023,Pour the contents of the orange cup into the bowl_35,Which language instruction best describes the robot's trajectory shown in the image?,"fb0153f4-13da-4bf0-85a4-6eaf315d1e36,af636e7b-927b-4b2f-bad2-ecc35c0a0ad6",Grab the pen with the gripper,False,,Pick up the cup from the center,False,,Place the cup on the center,False,,Pour the contents of the orange cup into the bowl,True,,trajectory_understanding
Mon_May_29_23_24_06_2023_q1,Mon_May_29_23_24_06_2023,Hang the white cloth on the black stand_44,Which language instruction best describes the robot's trajectory shown in the image?,"3c0c3065-dc3c-444d-a5b0-d2cf56e3586e,cc168402-c85a-4ab2-b082-d3d3952f7e7e",Pick up the toy from the drawer,False,,Rotate the toy clockwise,False,,Move the book to the table,False,,Hang the white cloth on the black stand,True,,trajectory_understanding
Sat_Jul__1_00_27_30_2023_q1,Sat_Jul__1_00_27_30_2023,Pull the handle of the tap to the right_176,Which language instruction best describes the robot's trajectory shown in the image?,"49e003d3-6f1b-4acc-ac93-b24eee9741cd,564723cd-b7b7-4eed-a4d7-d9e73fa007a0",Pick up the plate from the floor,False,,Grab the cup with the gripper,False,,Grab the toy with the gripper,False,,Pull the handle of the tap to the right,True,,trajectory_understanding
Tue_Jun__6_11_01_21_2023_q1,Tue_Jun__6_11_01_21_2023,Turn on the toaster_120,Which language instruction best describes the robot's trajectory shown in the image?,"afcd66c4-8dbf-4dd8-bd1a-958075997470,f2516378-ccef-4cde-b154-200a9f093679",Push the pen towards the corner,False,,Place the pen on the center,False,,Lift the ball upward,False,,Turn on the toaster,True,,trajectory_understanding
Fri_Apr_14_16_23_42_2023_q2,Fri_Apr_14_16_23_42_2023,Put the marker into the mug__38,Which language instruction best describes the robot's trajectory shown in the image?,"36ea411b-7086-4ea0-93b9-c964d77b4682,de1106f2-b0bc-4976-81fd-286ba00bf220",Lift the toy upward,False,,Move the pen to the tray,False,,Align the box with the center,False,,Put the marker into the mug.,True,,trajectory_understanding
Sat_Aug_19_11_32_44_2023_q2,Sat_Aug_19_11_32_44_2023,Open the lid of the coffee maker_96,Which language instruction best describes the robot's trajectory shown in the image?,"bb16cea8-001c-4f37-a7f1-9cf939d01a20,e11b9e9c-8a01-465f-9301-5de2332bda04",Align the plate with the center,False,,Open the lid of the coffee maker,True,,Pick up the container from the table,False,,Rotate the book clockwise,False,,trajectory_understanding
Mon_Oct_23_13_15_02_2023_q1,Mon_Oct_23_13_15_02_2023,Open the tap_190,Which language instruction best describes the robot's trajectory shown in the image?,"bd3fecca-9614-49a1-a4bd-9355d95eb19a,67b9b234-46a1-4a8d-b782-8d16f8101513",Drop the book into the platform,False,,Move the pen to the drawer,False,,Open the tap,True,,Grab the cup with the gripper,False,,trajectory_understanding
Sun_Jun_25_17_36_13_2023_q1,Sun_Jun_25_17_36_13_2023,Remove the screwdriver from the tray and put it on the purple placemat_197,Which language instruction best describes the robot's trajectory shown in the image?,"c6c2130c-4b79-4d2f-9056-d22a54065dab,66fa6f51-0877-4484-b40b-c60765b86448",Remove the screwdriver from the tray and put it on the purple placemat,True,,Move the book to the shelf,False,,Pick up the bottle from the drawer,False,,Pick up the pen from the floor,False,,trajectory_understanding
Fri_Nov_17_22_37_43_2023_q220,Fri_Nov_17_22_37_43_2023,Remove all the contents from the white plastic bag one at at time and put them on the table_147,The robot is to remove all the contents from the white plastic bag one at at time and put them on the table. Has the robot successfully completed the task?,096da220-7c97-4ed3-b4d7-e277d729150d,Cannot be determined,False,,Task was not attempted,False,,No,True,,Yes,False,,task_success_state
Fri_Nov_17_22_37_43_2023_q535,Fri_Nov_17_22_37_43_2023,Remove all the contents from the white plastic bag one at at time and put them on the table_147,The robot is to remove all the contents from the white plastic bag one at at time and put them on the table. Has the robot successfully completed the task?,e333ba74-74e0-4d56-ac1d-507cf25a7645,No,True,,Cannot be determined,False,,Yes,False,,Task was not attempted,False,,task_success_state
Mon_Dec__4_10_38_51_2023_q30,Mon_Dec__4_10_38_51_2023,Put the yellow cup and the knife in the bowl_42,The robot is to put the yellow cup and the knife in the bowl. Has the robot successfully completed the task?,f9d2a6e9-570b-4c09-b99f-125d86d5d3cf,No,False,,Task was not attempted,False,,Cannot be determined,False,,Yes,True,,task_success_state
